order_id,order_timestamp,origin_zip,destination_zip,carrier_code,item_category,distance_miles,warehouse_processing_hours,weather_score,holiday_flag,weekend_flag,historical_carrier_delay_days,actual_delivery_days
21,2024-12-31 06:09:56,25212,15840,CARRIER_C,fragile,399.6,67.1,4.0,0,0,1.19,4.35
22,2024-09-27 16:22:52,55622,64316,CARRIER_B,perishable,2059.7,44.9,8.2,0,0,1.65,7.24
23,2024-05-13 06:16:10,74691,78737,CARRIER_D,fragile,2751.5,69.3,9.3,0,0,2.68,11.54
24,2025-11-07 12:55:21,32179,53826,CARRIER_B,oversize,1977.9,23.1,2.7,0,0,0.98,5.52
25,2025-07-24 13:03:42,19304,69293,CARRIER_E,standard,2691.4,26.7,5.4,0,0,0.91,8.66
26,2025-04-15 00:31:00,93450,01339,CARRIER_A,standard,41.5,60.8,1.8,0,0,0.67,2.53
27,2024-10-20 18:17:58,09685,66419,CARRIER_E,oversize,1808.7,40.3,8.5,0,1,2.96,7.99
28,2025-08-23 14:47:00,55118,63679,CARRIER_C,fragile,303.6,8.1,7.3,1,1,2.59,4.1
29,2025-02-02 03:55:05,17766,94556,CARRIER_C,standard,209.6,47.5,5.8,0,1,2.68,3.84
30,2024-11-19 16:37:00,65394,39368,CARRIER_C,oversize,2851.7,41.2,5.6,0,0,1.72,8.38
31,2024-11-24 20:03:04,37513,80356,CARRIER_B,fragile,2787.3,4.7,0.1,0,1,1.9,6.43
32,2024-06-14 21:13:20,07602,24279,CARRIER_C,fragile,2467.5,11.8,9.0,0,0,0.92,7.3
33,2024-03-08 06:13:16,16737,89872,CARRIER_E,fragile,1508.1,61.6,1.9,0,0,0.11,7.66
34,2025-02-08 20:19:31,48768,55204,CARRIER_D,fragile,1667.9,47.7,3.9,0,1,0.08,6.5
35,2025-10-10 03:49:48,14467,76047,CARRIER_E,standard,2063.2,7.0,1.9,0,0,1.34,5.95
36,2024-02-16 14:04:41,57947,52560,CARRIER_A,perishable,2451.0,42.8,6.0,0,0,2.31,7.31
37,2025-09-18 13:15:48,80067,74548,CARRIER_E,oversize,2063.7,56.8,1.7,0,0,2.08,7.7
38,2025-08-27 04:05:53,29040,80912,CARRIER_D,perishable,185.2,30.7,6.4,0,0,0.2,3.37
39,2024-07-21 00:49:47,93704,75840,CARRIER_D,fragile,571.9,2.2,4.8,0,1,2.0,3.28
40,2025-04-06 02:45:36,73576,98430,CARRIER_D,standard,2044.5,45.2,1.4,0,1,2.8,8.02
41,2024-04-30 14:48:48,08535,94539,CARRIER_C,standard,1599.4,33.3,6.9,0,0,2.6,6.44
42,2025-07-07 09:41:49,46657,79599,CARRIER_D,fragile,310.5,71.4,7.7,0,0,1.81,5.44
43,2025-05-26 09:09:44,55390,52498,CARRIER_D,oversize,1567.7,26.1,2.4,0,0,1.25,5.66
44,2024-09-15 19:17:41,56131,09244,CARRIER_B,fragile,2105.0,57.1,1.3,0,1,1.87,7.16
45,2024-02-19 13:57:30,46050,41049,CARRIER_C,fragile,1570.1,45.2,5.3,0,0,1.24,6.46
46,2025-12-09 14:37:45,36093,60643,CARRIER_A,perishable,480.6,33.5,2.3,0,0,2.72,2.66
47,2024-11-21 08:26:41,56893,96119,CARRIER_B,oversize,1409.9,51.0,0.2,0,0,0.78,5.09
48,2025-10-13 23:28:55,67650,31622,CARRIER_B,standard,958.0,9.9,6.7,0,0,1.76,4.04
49,2025-05-09 21:08:27,84788,96891,CARRIER_C,perishable,2168.8,9.2,9.9,0,0,2.63,7.29
50,2025-07-22 05:16:43,10317,57960,CARRIER_C,fragile,817.1,54.9,8.2,1,0,2.95,6.44
51,2025-07-08 17:26:17,13860,87242,CARRIER_C,standard,437.3,43.4,2.9,0,0,2.17,3.73
52,2024-05-22 02:04:12,50622,70928,CARRIER_A,fragile,1875.5,30.1,6.9,0,0,2.56,6.17
53,2024-09-22 15:38:01,42414,57467,CARRIER_B,oversize,1926.5,49.4,3.0,0,1,0.99,7.36
54,2024-12-06 16:57:07,89564,80828,CARRIER_B,fragile,496.4,9.0,0.9,0,0,2.18,1.01
55,2024-12-29 09:18:28,57368,62672,CARRIER_A,standard,1038.5,5.8,8.2,0,1,0.15,3.43
56,2024-02-01 23:26:31,23518,81311,CARRIER_C,standard,11.3,63.0,1.3,0,0,2.25,2.75
57,2025-02-02 23:53:51,85034,44873,CARRIER_D,fragile,1257.4,40.0,10.0,1,1,0.53,7.26
58,2024-04-22 15:09:06,86844,03623,CARRIER_C,perishable,1445.2,25.4,2.3,0,0,0.29,4.71
59,2025-06-26 15:56:45,04085,21056,CARRIER_C,standard,1181.0,11.7,2.8,0,0,0.39,3.81
60,2025-05-13 15:01:03,88505,52791,CARRIER_E,perishable,546.5,60.4,7.4,0,0,2.6,6.42
61,2025-11-04 10:41:15,36367,10109,CARRIER_A,perishable,2972.8,46.5,7.8,0,0,2.66,8.71
62,2025-06-27 16:13:58,23043,45735,CARRIER_C,fragile,1976.5,13.3,5.8,0,0,1.4,6.12
63,2024-09-24 15:34:45,11532,01235,CARRIER_C,standard,1564.6,38.6,5.7,0,0,0.8,5.71
64,2025-12-07 06:46:13,08072,51041,CARRIER_E,fragile,2539.7,46.1,5.4,0,1,2.61,9.62
65,2024-10-26 22:05:53,05978,21294,CARRIER_B,standard,798.1,38.4,3.3,0,1,0.61,3.35
66,2024-08-25 20:27:36,76441,74571,CARRIER_B,perishable,483.0,25.9,7.9,0,1,0.04,3.67
67,2025-10-23 00:59:11,90435,53841,CARRIER_C,oversize,1328.9,31.1,4.7,0,0,1.25,5.01
68,2024-09-27 10:27:14,95858,90597,CARRIER_D,oversize,2401.0,39.5,6.0,0,0,1.49,7.39
69,2024-02-25 17:31:57,51026,90146,CARRIER_C,oversize,2059.6,68.9,4.6,0,1,1.24,8.26
70,2024-12-08 18:37:04,25571,39523,CARRIER_B,oversize,775.7,18.6,5.2,0,1,2.11,2.39
71,2025-08-03 20:18:47,88879,41543,CARRIER_E,perishable,1071.7,50.9,6.7,0,1,2.84,7.17
72,2024-05-18 07:32:17,91300,51178,CARRIER_D,fragile,1928.6,19.7,2.2,0,1,2.85,5.86
73,2024-12-03 22:43:07,40101,64085,CARRIER_B,perishable,2607.5,40.9,5.4,0,0,1.16,7.56
74,2024-04-04 20:13:29,20816,65679,CARRIER_A,oversize,2144.5,30.9,9.9,0,0,1.58,7.59
75,2025-05-16 03:05:53,83931,46259,CARRIER_A,standard,1296.2,5.5,7.0,0,0,1.94,4.03
76,2024-12-13 06:21:01,35930,52241,CARRIER_D,fragile,753.1,7.6,4.5,0,0,0.12,3.03
77,2024-08-29 01:02:23,53660,01367,CARRIER_C,perishable,1414.6,52.1,5.8,0,0,0.37,6.42
78,2024-06-14 15:27:06,88590,07309,CARRIER_A,perishable,114.6,49.2,5.4,0,0,2.75,2.67
79,2025-02-16 02:02:17,16635,42759,CARRIER_B,perishable,465.7,27.5,9.2,0,1,1.34,3.31
80,2025-05-03 23:08:28,30406,93713,CARRIER_B,fragile,1131.9,22.9,8.4,0,1,1.37,5.43
81,2025-11-17 10:09:46,21172,37083,CARRIER_D,oversize,2061.2,71.0,6.4,0,0,0.26,9.57
82,2024-11-15 02:54:05,75569,99214,CARRIER_E,standard,2794.7,27.1,1.7,0,0,1.42,8.28
83,2024-04-27 07:15:23,11740,31654,CARRIER_E,standard,661.2,61.0,2.6,0,1,2.16,5.45
84,2025-08-30 20:31:19,14696,05085,CARRIER_A,oversize,1205.6,18.4,1.6,0,1,0.7,2.77
85,2025-04-04 17:28:14,33069,30574,CARRIER_C,oversize,1942.9,18.9,8.5,0,0,0.56,6.76
86,2025-05-26 04:38:40,37876,38707,CARRIER_E,fragile,1144.2,42.8,5.3,0,0,2.69,6.32
87,2024-03-11 23:24:38,74520,15233,CARRIER_D,perishable,2652.9,10.8,5.2,0,0,1.06,7.53
88,2024-08-16 00:39:48,94073,39934,CARRIER_C,standard,1158.2,16.7,2.3,0,0,1.78,3.55
89,2025-07-14 12:37:31,59474,58356,CARRIER_E,oversize,2483.7,70.6,3.6,0,0,0.35,10.33
90,2025-08-30 13:11:30,22628,19712,CARRIER_A,oversize,2992.5,69.7,6.3,0,1,2.29,10.02
91,2024-11-13 16:59:45,66105,80323,CARRIER_E,standard,279.9,9.7,3.4,0,0,1.62,3.17
92,2025-08-10 11:28:17,70170,16992,CARRIER_E,oversize,497.6,5.5,5.7,0,1,1.26,4.4
93,2025-09-06 10:26:29,08442,83291,CARRIER_D,fragile,335.6,64.5,4.0,1,1,0.26,6.37
94,2024-10-09 20:37:16,91955,11921,CARRIER_E,fragile,966.7,33.0,0.4,0,0,1.11,4.47
95,2025-10-17 14:29:42,51123,26845,CARRIER_E,oversize,1327.6,70.8,6.8,1,0,1.53,9.33
96,2024-07-29 11:30:30,78495,35976,CARRIER_D,oversize,1249.8,48.7,7.2,1,0,2.55,8.11
97,2024-06-23 21:03:08,05129,28698,CARRIER_A,standard,2250.6,39.8,6.9,0,1,1.91,7.14
98,2025-05-13 05:19:16,94798,65723,CARRIER_B,standard,2798.5,2.1,0.0,0,0,2.97,5.6
99,2025-04-09 20:04:01,97232,28416,CARRIER_B,oversize,2472.6,28.9,2.4,0,0,2.74,6.79
100,2024-04-12 00:27:48,94374,12958,CARRIER_B,standard,2293.6,42.8,9.4,0,0,0.28,7.68
101,2025-08-30 21:32:52,52901,16080,CARRIER_B,standard,1850.2,52.2,1.5,0,1,0.32,5.98
102,2024-05-25 22:23:30,11363,89699,CARRIER_C,perishable,2181.3,63.3,5.9,0,1,1.18,8.82
103,2025-08-10 13:49:56,45146,62411,CARRIER_D,fragile,2217.6,44.0,1.0,0,1,0.99,7.24
104,2024-01-06 08:59:13,60166,93809,CARRIER_C,fragile,186.0,23.9,2.2,0,1,1.91,2.16
105,2025-08-04 16:40:55,44848,14649,CARRIER_D,oversize,2980.0,11.4,5.7,0,0,1.63,8.92
106,2025-07-28 10:54:54,42689,68438,CARRIER_E,standard,1932.6,54.1,5.7,1,0,0.78,9.91
107,2025-07-23 15:58:58,34996,39814,CARRIER_E,oversize,1233.2,62.7,5.3,0,0,1.41,7.2
108,2025-04-30 08:11:13,68273,86917,CARRIER_E,fragile,291.2,12.6,7.4,0,0,0.22,3.65
109,2024-12-10 05:51:22,57279,54266,CARRIER_D,perishable,2800.6,8.6,3.3,0,0,1.27,8.25
110,2025-05-29 18:29:50,74254,16214,CARRIER_B,oversize,241.2,56.2,2.7,0,0,1.39,3.47
111,2024-07-21 07:10:15,08009,67727,CARRIER_A,fragile,2293.7,5.4,1.1,0,1,1.97,4.23
112,2025-07-23 22:22:21,24523,57924,CARRIER_A,fragile,1185.5,59.4,0.1,0,0,0.1,3.86
113,2025-02-09 14:56:05,87884,96733,CARRIER_E,fragile,2077.4,51.9,8.3,0,1,2.03,8.65
114,2024-12-01 00:12:15,79986,80225,CARRIER_C,fragile,1927.4,30.4,2.7,0,1,1.99,6.5
115,2025-01-04 02:13:17,67371,81713,CARRIER_B,fragile,840.3,18.5,8.5,0,1,0.06,3.91
116,2025-02-19 04:20:44,40920,37333,CARRIER_B,perishable,2892.6,42.6,9.8,0,0,1.09,9.01
117,2024-01-28 04:50:08,42792,39380,CARRIER_D,oversize,349.6,11.6,8.6,0,1,1.1,3.64
118,2024-04-12 01:14:36,65673,60439,CARRIER_D,standard,157.7,7.9,4.2,1,0,1.25,4.21
119,2024-06-28 04:49:48,77138,82870,CARRIER_E,perishable,2549.4,29.0,4.8,0,0,1.93,8.54
120,2024-03-24 14:34:00,42770,24035,CARRIER_A,oversize,1546.4,1.7,2.8,0,1,1.1,3.3
121,2024-11-16 22:01:47,89757,28067,CARRIER_D,perishable,1333.7,51.6,9.6,0,1,2.63,7.64
122,2025-05-02 22:25:11,34611,97792,CARRIER_E,perishable,1001.6,29.2,7.6,0,0,2.55,6.35
123,2025-04-22 17:35:37,32042,67867,CARRIER_C,standard,200.6,21.8,1.2,0,0,1.89,1.48
124,2024-12-09 21:36:19,69389,48247,CARRIER_C,standard,149.0,12.2,1.8,0,0,0.81,1.6
125,2025-09-16 05:00:06,79050,20611,CARRIER_B,standard,224.4,6.8,7.2,0,0,1.89,2.52
126,2025-02-16 14:56:11,54190,30855,CARRIER_A,standard,151.3,19.6,7.6,0,1,2.01,2.22
127,2024-02-27 19:32:18,95168,43679,CARRIER_A,oversize,621.8,37.5,6.7,0,0,1.0,3.19
128,2025-07-12 10:46:47,85292,82279,CARRIER_D,fragile,260.5,39.2,3.6,0,1,1.14,3.13
129,2025-02-23 11:00:10,20717,61409,CARRIER_D,fragile,728.0,1.3,6.0,0,1,1.18,3.47
130,2025-04-08 08:15:53,78600,33534,CARRIER_E,fragile,509.6,46.4,2.5,0,0,2.97,4.98
131,2025-02-16 17:20:26,81062,81185,CARRIER_A,oversize,1690.7,40.9,2.9,0,1,0.11,5.04
132,2025-02-08 02:42:39,86833,65841,CARRIER_D,oversize,677.5,34.1,7.9,0,1,0.3,5.19
133,2024-03-07 02:43:25,52540,93110,CARRIER_E,oversize,1409.8,8.6,2.7,0,0,1.78,4.87
134,2025-02-12 05:18:34,76577,50674,CARRIER_E,oversize,284.2,50.4,2.3,0,0,1.97,3.43
135,2025-08-03 06:52:08,72396,97973,CARRIER_C,oversize,826.7,10.2,8.4,0,1,2.36,4.36
136,2024-08-09 21:12:20,91684,72175,CARRIER_A,oversize,1979.1,21.2,0.1,0,0,2.99,3.81
137,2025-03-16 01:43:33,29684,84641,CARRIER_A,standard,499.2,25.6,8.4,0,1,1.06,3.73
138,2024-01-23 11:55:42,15666,47984,CARRIER_B,perishable,1410.2,70.7,9.7,0,0,2.4,8.16
139,2024-09-10 16:11:09,76647,19190,CARRIER_C,oversize,1903.2,4.8,1.6,0,0,1.26,4.04
140,2024-11-14 19:17:19,64048,49940,CARRIER_E,standard,1282.8,37.2,0.9,0,0,1.19,5.81
141,2025-12-18 09:34:35,97649,85058,CARRIER_B,oversize,2973.7,28.1,9.0,0,0,2.54,8.46
142,2024-06-05 15:31:24,08240,79237,CARRIER_A,standard,485.8,5.1,3.2,0,0,2.88,2.16
143,2024-07-20 21:07:36,03477,58559,CARRIER_C,fragile,1064.0,70.6,0.1,0,1,2.93,5.72
144,2024-10-25 05:25:18,49964,01306,CARRIER_B,oversize,1201.1,66.7,6.2,0,0,1.21,6.01
145,2025-12-25 15:30:05,60722,37362,CARRIER_A,fragile,1327.5,9.2,7.2,0,0,1.09,3.41
146,2025-09-14 23:37:18,86134,13221,CARRIER_C,standard,344.7,5.3,7.7,0,1,0.94,2.43
147,2024-01-26 07:49:14,66834,30293,CARRIER_D,perishable,1938.1,50.4,2.3,0,0,2.33,7.74
148,2024-06-19 18:37:11,72559,96672,CARRIER_A,oversize,2549.6,25.7,3.1,0,0,1.83,6.59
149,2025-08-22 19:44:10,38790,72136,CARRIER_C,fragile,2972.6,64.4,2.4,0,0,1.95,9.68
150,2024-02-12 13:27:50,58292,09055,CARRIER_C,perishable,1733.7,7.2,1.4,0,0,2.47,4.37
151,2025-09-16 15:21:12,14044,43040,CARRIER_D,perishable,467.6,38.3,0.2,0,0,2.87,3.27
152,2024-07-24 09:50:44,69398,57837,CARRIER_C,oversize,276.7,30.5,7.8,0,0,2.06,3.74
153,2025-10-31 21:15:55,14039,86337,CARRIER_A,standard,1219.9,60.5,7.1,0,0,2.85,5.84
154,2024-08-02 07:45:45,17328,34638,CARRIER_B,fragile,288.4,19.0,3.1,0,0,0.39,1.63
155,2024-11-13 01:13:49,16584,94592,CARRIER_E,perishable,1107.7,15.9,3.4,0,0,0.09,4.51
156,2025-04-28 04:46:38,93080,90461,CARRIER_E,fragile,2974.6,67.9,3.7,0,0,1.76,10.82
157,2024-04-02 04:26:18,17384,89049,CARRIER_B,perishable,1211.5,70.0,1.9,0,0,1.34,6.15
158,2025-02-10 15:12:11,21247,33885,CARRIER_D,oversize,799.3,2.8,1.0,0,0,0.79,2.7
159,2025-01-03 15:52:17,99550,46405,CARRIER_D,oversize,1224.2,27.4,0.6,0,0,2.13,4.49
160,2025-07-26 05:53:47,16697,39858,CARRIER_D,fragile,1708.5,42.3,7.6,0,1,2.18,7.51
161,2025-12-28 03:47:34,54380,88281,CARRIER_A,standard,797.7,50.0,9.4,0,1,2.06,5.49
162,2025-04-29 22:46:23,14000,08000,CARRIER_B,oversize,1517.4,1.2,1.2,0,0,0.48,3.72
163,2024-10-25 16:56:47,44768,59854,CARRIER_C,fragile,2932.4,55.9,7.7,0,0,2.46,9.94
164,2024-10-23 15:53:52,93621,01936,CARRIER_C,fragile,818.9,38.9,6.8,0,0,2.22,3.8
165,2024-11-01 02:38:13,32870,18418,CARRIER_A,oversize,1214.4,22.4,2.2,0,0,1.64,2.93
166,2025-08-17 05:38:13,46085,01440,CARRIER_C,fragile,1274.7,13.2,2.5,0,1,2.87,4.07
167,2024-08-22 11:41:58,87616,08814,CARRIER_C,fragile,2496.9,54.8,5.1,0,0,1.12,9.09
168,2024-05-01 21:21:55,53306,98272,CARRIER_C,oversize,1593.5,64.5,3.5,0,0,2.53,6.77
169,2024-09-01 00:47:09,94856,04464,CARRIER_C,standard,2680.6,27.5,3.4,0,1,1.19,6.81
170,2024-01-17 13:54:55,37902,91079,CARRIER_E,oversize,2321.1,32.0,5.2,0,0,0.31,8.06
171,2024-03-18 11:37:04,23160,04144,CARRIER_E,oversize,1952.9,51.5,8.2,0,0,0.14,8.18
172,2024-03-06 17:38:18,02727,56422,CARRIER_E,standard,43.4,61.4,0.4,0,0,0.59,4.41
173,2025-07-17 05:35:53,39541,81697,CARRIER_D,fragile,1392.8,49.4,3.8,0,0,2.19,6.11
174,2025-06-11 07:44:08,06666,80447,CARRIER_A,fragile,2532.4,1.5,5.9,0,0,2.08,5.83
175,2025-05-23 15:25:27,57593,13217,CARRIER_B,standard,2906.7,18.7,1.3,0,0,2.74,6.44
176,2024-12-03 04:05:20,01575,64162,CARRIER_D,oversize,2731.8,20.4,5.6,0,0,0.46,8.9
177,2025-06-07 10:51:54,10281,88678,CARRIER_E,fragile,2609.6,29.6,2.4,0,1,2.88,8.28
178,2024-04-27 17:28:53,53899,70770,CARRIER_A,oversize,1863.4,67.2,0.3,0,1,0.75,5.58
179,2025-10-19 10:53:30,60763,29369,CARRIER_C,oversize,799.3,32.3,2.0,0,1,0.4,4.22
180,2024-12-31 18:18:16,19348,49932,CARRIER_D,fragile,1605.4,16.8,1.6,0,0,2.19,5.23
181,2025-11-15 18:39:37,74253,99261,CARRIER_C,fragile,1907.7,20.6,2.0,0,1,1.8,4.88
182,2024-04-21 04:30:28,40212,07699,CARRIER_D,standard,2417.4,13.9,1.6,0,1,2.67,6.34
183,2024-12-29 01:13:22,18710,43769,CARRIER_B,perishable,333.4,41.9,7.5,0,1,2.61,4.24
184,2025-05-23 07:31:58,46032,30685,CARRIER_A,perishable,99.8,14.7,1.8,1,0,2.76,1.48
185,2024-12-27 19:21:54,92288,15097,CARRIER_C,oversize,422.5,55.1,6.5,0,0,1.22,5.59
186,2024-11-21 16:39:28,53257,44010,CARRIER_E,standard,2283.1,34.6,9.8,0,0,2.26,9.31
187,2024-05-01 08:04:15,85466,22758,CARRIER_D,standard,2204.9,58.5,7.4,0,0,0.57,9.39
188,2024-10-05 03:29:30,89280,60175,CARRIER_E,oversize,2499.7,35.1,6.0,0,1,1.64,8.59
189,2024-06-23 07:11:05,22632,21367,CARRIER_B,oversize,1067.5,16.0,3.2,0,1,2.42,3.74
190,2024-08-08 02:29:30,04323,34746,CARRIER_D,perishable,2773.3,31.1,4.9,0,0,0.91,8.56
191,2025-05-14 02:26:08,67094,16265,CARRIER_A,oversize,361.0,69.9,1.9,0,0,2.8,3.29
192,2025-04-05 02:33:03,49422,47301,CARRIER_A,standard,1002.2,34.2,1.9,0,1,0.54,3.39
193,2025-03-19 06:04:53,35978,79598,CARRIER_E,perishable,2273.9,58.6,9.4,0,0,1.43,10.06
194,2024-09-21 02:57:24,13186,67445,CARRIER_E,perishable,1972.3,14.2,7.8,0,1,0.28,7.4
195,2025-12-01 13:48:50,14750,14293,CARRIER_D,oversize,829.5,13.3,9.1,0,0,1.62,5.28
196,2024-03-04 23:37:35,92651,51489,CARRIER_E,standard,1906.5,56.2,6.6,0,0,0.73,8.37
197,2024-09-07 02:11:25,14328,48506,CARRIER_B,perishable,2333.7,64.9,3.3,0,1,0.78,7.64
198,2024-03-27 03:27:48,91745,33982,CARRIER_B,perishable,1340.5,36.8,3.6,0,0,0.0,3.96
199,2024-09-04 10:17:43,26535,82071,CARRIER_C,standard,694.6,46.4,5.8,0,0,2.57,5.02
200,2025-12-03 04:26:49,13993,62186,CARRIER_C,oversize,2614.0,22.1,1.8,0,0,2.91,6.39
201,2024-09-24 08:56:13,51995,60319,CARRIER_D,fragile,1009.5,55.8,8.8,0,0,1.56,6.34
202,2025-10-25 06:20:01,11735,35360,CARRIER_E,oversize,2840.7,53.0,2.8,0,1,1.03,10.19
203,2024-12-27 09:33:01,27250,75071,CARRIER_D,oversize,2635.5,20.9,2.9,0,0,2.65,7.45
204,2025-05-25 18:52:08,10986,79866,CARRIER_B,oversize,711.7,35.5,7.2,0,1,1.8,3.69
205,2024-11-29 21:57:15,01979,10925,CARRIER_C,standard,1585.6,18.8,4.6,0,0,1.98,5.46
206,2024-07-13 02:02:30,09808,71367,CARRIER_C,fragile,1703.5,42.1,0.3,0,1,1.53,5.61
207,2025-07-11 21:18:00,96838,82820,CARRIER_A,fragile,194.6,32.3,1.1,0,0,0.09,1.91
208,2025-12-08 11:58:12,15809,42126,CARRIER_D,fragile,1143.3,19.2,0.6,0,0,1.73,3.48
209,2024-07-11 08:57:20,22126,59782,CARRIER_E,oversize,1808.7,57.4,5.1,0,0,0.43,8.95
210,2025-07-22 11:42:57,15568,92599,CARRIER_A,standard,1293.1,49.5,2.1,0,0,2.73,4.49
211,2024-07-09 15:10:22,07516,00449,CARRIER_D,perishable,2574.0,65.2,4.3,0,0,0.43,9.29
212,2025-06-07 07:54:58,16350,63322,CARRIER_A,fragile,1182.1,71.8,0.4,0,1,1.89,4.53
213,2025-07-29 23:23:41,10281,82302,CARRIER_E,perishable,844.1,22.6,8.0,1,0,2.76,6.26
214,2024-11-24 00:48:48,14857,25590,CARRIER_E,standard,2885.7,49.7,9.0,0,1,1.71,11.13
215,2025-06-21 22:49:52,45692,65692,CARRIER_E,fragile,2554.5,29.5,5.8,0,1,2.92,8.85
216,2024-07-17 17:40:19,37791,56029,CARRIER_C,perishable,2368.2,31.8,4.2,1,0,0.76,9.1
217,2024-02-27 20:31:17,17996,01576,CARRIER_B,fragile,446.3,69.3,6.9,0,0,1.25,5.01
218,2024-03-11 08:46:10,25389,05416,CARRIER_D,perishable,1278.8,39.6,5.3,0,0,2.31,5.75
219,2024-11-22 07:51:20,46594,78654,CARRIER_A,oversize,351.7,64.5,0.9,1,0,2.1,3.58
220,2025-10-20 21:35:38,41707,44477,CARRIER_C,fragile,473.9,10.8,0.4,1,0,2.34,3.15
221,2024-04-03 03:08:47,12052,98741,CARRIER_A,perishable,2571.9,46.5,9.5,1,0,1.97,9.52
222,2024-11-28 17:12:02,89374,83188,CARRIER_D,oversize,767.4,66.8,0.7,0,0,0.75,5.34
223,2025-05-28 22:38:30,38945,64979,CARRIER_D,fragile,1568.9,41.1,9.9,0,0,1.66,7.41
224,2024-05-27 17:24:22,35196,40992,CARRIER_E,fragile,2032.8,19.3,2.7,0,0,1.75,6.51
225,2025-06-10 18:43:09,57399,84668,CARRIER_C,oversize,113.6,49.5,7.0,0,0,0.7,4.07
226,2024-08-11 08:21:36,28647,21042,CARRIER_B,standard,1064.3,61.0,5.6,0,1,0.5,5.23
227,2025-08-13 07:44:10,62230,86007,CARRIER_B,standard,2138.7,65.5,1.5,0,0,2.71,7.36
228,2025-02-26 19:55:36,91435,44599,CARRIER_E,perishable,1353.4,57.3,8.2,0,0,1.83,7.19
229,2025-02-03 05:48:55,84448,99546,CARRIER_A,standard,1815.3,4.1,4.9,0,0,0.18,4.88
230,2024-05-09 01:03:32,32160,63377,CARRIER_C,oversize,143.7,46.7,1.6,0,0,0.56,2.38
231,2024-12-04 03:22:03,09458,25386,CARRIER_E,standard,1304.2,50.2,4.8,1,0,0.61,7.88
232,2025-09-17 07:52:56,12200,55767,CARRIER_E,oversize,2545.8,7.6,6.5,0,0,2.93,7.67
233,2024-01-15 06:03:37,21068,47826,CARRIER_E,fragile,1973.7,45.6,2.1,0,0,1.07,6.94
234,2025-07-07 17:15:43,61898,34883,CARRIER_E,standard,2631.9,46.1,8.6,1,0,0.61,10.38
235,2024-12-25 17:11:49,49324,39952,CARRIER_B,fragile,157.0,5.3,2.4,0,0,2.14,1.49
236,2025-06-09 04:59:27,28179,59748,CARRIER_C,standard,1684.7,10.4,2.9,0,0,0.05,4.67
237,2025-04-29 04:58:52,19561,69996,CARRIER_C,oversize,1106.5,24.0,6.2,0,0,2.54,4.8
238,2024-11-11 10:16:12,51995,18331,CARRIER_A,fragile,541.7,35.4,0.4,0,0,2.73,1.82
239,2024-08-13 07:50:57,96142,63447,CARRIER_A,oversize,1835.7,3.7,5.6,0,0,1.99,3.82
240,2025-04-02 22:27:03,76798,30737,CARRIER_D,standard,2574.6,36.4,4.7,0,0,1.81,8.83
